Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,ResultScore,ResultBand
15,0,3,0,0,2,0,2,4,0,4,1,0,0,3,1,1,1,1,4,3,0,30,High risk / addictive pattern (consider referral)
19,2,0,1,2,2,0,4,4,3,0,1,0,4,1,2,0,1,1,4,2,4,37,High risk / addictive pattern (consider referral)
19,2,1,0,2,2,1,2,0,4,0,4,0,4,1,1,0,0,0,4,3,2,33,High risk / addictive pattern (consider referral)
15,0,1,1,0,2,2,4,3,2,3,2,4,0,0,0,0,1,0,1,3,3,31,High risk / addictive pattern (consider referral)
13,2,0,4,2,1,2,2,4,3,4,3,0,0,2,1,1,1,0,4,3,2,37,High risk / addictive pattern (consider referral)
18,1,2,0,1,1,1,4,0,3,0,1,2,1,1,1,0,0,1,1,3,3,27,Problematic use likely (structured assessment)
17,1,1,3,2,1,3,2,3,1,1,0,1,1,1,3,1,0,1,2,2,0,27,Problematic use likely (structured assessment)
14,1,2,4,2,1,1,4,4,0,3,4,3,3,3,1,1,0,0,0,1,0,34,High risk / addictive pattern (consider referral)
14,1,1,0,1,2,0,0,0,4,1,4,0,2,4,4,1,1,0,1,2,2,31,High risk / addictive pattern (consider referral)
17,1,3,0,0,1,3,3,3,2,0,1,0,2,2,1,1,1,1,4,2,1,32,High risk / addictive pattern (consider referral)
18,2,0,4,1,2,0,2,4,2,1,2,1,4,4,0,0,1,1,1,3,1,32,High risk / addictive pattern (consider referral)
14,2,3,2,2,0,0,2,3,2,1,4,2,3,2,2,1,1,1,1,3,1,36,High risk / addictive pattern (consider referral)
15,0,3,4,2,0,3,2,0,0,3,1,3,1,3,2,1,0,0,3,0,1,28,Problematic use likely (structured assessment)
14,0,0,1,2,1,1,4,4,3,2,1,4,4,1,4,1,1,1,3,1,1,39,High risk / addictive pattern (consider referral)
13,1,1,2,2,0,2,2,4,3,1,0,2,3,4,0,0,1,1,4,4,0,35,High risk / addictive pattern (consider referral)
19,1,1,4,0,0,1,1,3,4,0,4,0,2,4,0,0,1,1,1,1,2,27,Problematic use likely (structured assessment)
13,0,3,4,0,0,3,2,4,4,4,4,1,2,3,0,0,1,0,4,1,3,39,High risk / addictive pattern (consider referral)
14,1,0,3,1,1,0,1,3,0,1,2,0,1,2,3,0,1,0,1,0,3,21,Problematic use likely (structured assessment)
16,0,1,1,2,1,3,2,3,1,2,2,0,2,0,2,0,0,1,3,2,4,31,High risk / addictive pattern (consider referral)
17,1,0,0,0,0,0,2,2,0,1,2,1,3,2,1,1,0,0,0,2,0,18,At-risk (brief advice/monitor)
19,2,1,3,0,1,0,0,2,0,4,1,0,2,0,1,1,0,0,2,4,1,22,Problematic use likely (structured assessment)
13,2,1,0,0,1,0,1,1,2,2,4,1,2,3,0,1,0,0,0,2,0,23,Problematic use likely (structured assessment)
13,0,1,4,1,0,3,0,3,3,4,3,4,2,1,3,0,1,1,3,2,0,35,High risk / addictive pattern (consider referral)
19,0,0,0,2,2,2,3,1,0,0,3,4,2,4,3,0,1,0,1,1,2,31,High risk / addictive pattern (consider referral)
16,0,2,2,1,2,2,1,0,2,1,2,1,0,2,1,1,0,0,4,1,1,24,Problematic use likely (structured assessment)
17,0,0,2,0,0,3,4,0,3,0,2,2,1,0,0,1,0,0,3,1,2,22,Problematic use likely (structured assessment)
18,2,1,0,2,2,3,4,1,4,4,4,0,4,1,4,1,1,1,2,0,3,44,High risk / addictive pattern (consider referral)
19,1,0,0,2,2,1,3,2,0,3,0,4,4,0,0,1,0,0,0,2,1,26,Problematic use likely (structured assessment)
18,0,1,3,1,1,0,3,2,0,4,1,0,4,1,2,0,0,1,0,3,0,24,Problematic use likely (structured assessment)
16,1,0,1,2,1,2,4,2,3,3,3,0,4,1,2,1,0,1,2,3,0,35,High risk / addictive pattern (consider referral)
19,2,3,2,1,0,1,0,4,0,1,4,2,2,1,0,0,1,0,1,3,3,29,Problematic use likely (structured assessment)
16,0,1,0,1,2,3,3,2,1,3,2,3,2,0,2,1,0,0,3,0,1,30,High risk / addictive pattern (consider referral)
18,0,2,2,1,0,3,3,4,0,2,3,2,0,2,4,1,0,1,1,2,3,34,High risk / addictive pattern (consider referral)
17,1,1,2,1,0,3,4,4,1,0,0,3,3,4,3,0,0,1,4,1,1,35,High risk / addictive pattern (consider referral)
16,1,2,2,1,1,2,3,1,2,3,4,3,0,1,3,1,1,0,4,1,3,37,High risk / addictive pattern (consider referral)
15,1,3,1,2,0,1,0,1,2,4,0,2,1,2,2,1,1,0,3,3,4,33,High risk / addictive pattern (consider referral)
14,1,2,2,0,1,2,4,2,1,4,4,1,0,2,3,0,0,0,3,2,0,32,High risk / addictive pattern (consider referral)
14,0,3,3,2,1,0,0,3,4,3,3,1,0,1,3,1,1,0,0,4,0,30,High risk / addictive pattern (consider referral)
13,0,1,4,0,2,2,1,2,4,3,0,0,0,2,0,1,0,0,1,4,0,23,Problematic use likely (structured assessment)
13,2,2,3,1,1,1,3,4,1,4,1,0,3,2,4,1,1,0,3,0,2,36,High risk / addictive pattern (consider referral)
14,2,3,2,0,1,0,2,3,2,3,1,0,2,4,4,1,0,1,2,1,1,33,High risk / addictive pattern (consider referral)
16,0,2,2,0,2,3,4,1,1,3,3,0,4,1,1,1,1,1,4,1,3,36,High risk / addictive pattern (consider referral)
13,2,0,1,1,1,2,0,0,1,2,1,1,4,3,4,0,0,0,2,3,1,28,Problematic use likely (structured assessment)
13,0,0,2,0,1,3,0,4,1,3,2,2,3,0,4,0,1,0,4,3,1,32,High risk / addictive pattern (consider referral)
15,1,3,0,2,1,1,3,0,3,0,3,0,0,2,3,1,0,0,2,2,4,31,High risk / addictive pattern (consider referral)
13,1,2,2,1,0,0,0,1,0,3,3,3,2,3,1,1,0,1,0,2,1,25,Problematic use likely (structured assessment)
17,0,2,2,1,1,0,4,1,3,1,1,3,0,0,1,0,1,0,0,0,2,21,Problematic use likely (structured assessment)
17,0,1,0,1,1,3,1,1,1,3,3,4,1,4,4,0,0,0,4,2,2,36,High risk / addictive pattern (consider referral)
15,2,2,1,1,0,1,1,1,1,2,4,1,2,0,1,0,1,1,0,3,0,24,Problematic use likely (structured assessment)
13,0,3,1,1,1,0,2,1,0,0,1,4,4,1,4,0,1,0,4,2,0,29,Problematic use likely (structured assessment)
13,2,2,1,0,1,2,1,0,1,2,0,4,1,0,2,0,0,1,4,2,0,25,Problematic use likely (structured assessment)
14,0,3,4,1,0,3,0,3,4,1,4,0,1,3,2,0,0,0,3,0,2,30,High risk / addictive pattern (consider referral)
18,2,2,3,1,0,2,1,3,3,1,0,3,1,3,4,1,0,0,3,1,1,32,High risk / addictive pattern (consider referral)
13,0,1,3,0,2,2,4,1,1,2,2,1,4,1,4,1,0,0,1,2,1,30,High risk / addictive pattern (consider referral)
19,0,3,2,0,2,3,0,4,1,1,4,3,4,1,1,1,1,1,3,4,1,38,High risk / addictive pattern (consider referral)
16,1,0,1,0,2,1,0,4,0,2,0,3,4,3,0,0,0,0,4,1,3,28,Problematic use likely (structured assessment)
16,2,2,3,2,1,1,0,0,4,3,3,1,3,4,1,1,0,0,0,0,1,29,Problematic use likely (structured assessment)
15,1,2,0,1,2,0,0,1,0,2,4,0,0,4,1,1,1,1,4,0,1,26,Problematic use likely (structured assessment)
